payment_id,order_id,amount,payment_method,payment_status,paid_at
PAY0048,O0048,41,Efectivo,paid,2026-07-10 07:07:00
PAY0049,O0049,18,Efectivo,paid,2026-07-10 14:25:00
PAY0050,O0050,41.5,Plin,paid,2026-07-11 14:09:00
PAY0051,O0051,25,Plin,paid,2026-07-11 17:55:00
PAY0052,O0052,25,Efectivo,paid,2026-07-12 11:01:00
PAY0053,O0053,26,Tarjeta,paid,2026-07-13 17:50:00
PAY0054,O0054,41.5,Yape,paid,2026-07-14 13:06:00
PAY0055,O0055,9,Plin,paid,2026-07-15 09:21:00
PAY0056,O0056,31.5,Tarjeta,paid,2026-07-16 07:38:00
PAY0057,O0057,48,Tarjeta,paid,2026-07-17 07:03:00
PAY0058,O0058,33,Plin,paid,2026-07-17 08:46:00
PAY0059,O0059,40,Tarjeta,paid,2026-07-18 15:06:00
PAY0060,O0060,14,Efectivo,refunded,2026-07-18 22:43:00
PAY0061,O0061,55.5,Tarjeta,paid,2026-07-19 10:27:00
PAY0062,O0062,9,Efectivo,paid,2026-07-19 13:18:00
PAY0063,O0063,86,Yape,paid,2026-07-20 13:47:00
PAY0064,O0064,95.5,Plin,paid,2026-07-21 09:33:00
PAY0065,O0065,117,Yape,paid,2026-07-21 18:33:00
PAY0066,O0066,42,Yape,paid,2026-07-22 10:25:00
PAY0067,O0067,87.5,Yape,paid,2026-07-23 07:50:00
PAY0068,O0068,25,Tarjeta,paid,2026-07-23 13:04:00
PAY0069,O0069,9,Plin,paid,2026-07-23 13:42:00
PAY0070,O0070,9,Plin,paid,2026-07-23 15:35:00
PAY0071,O0071,84.5,Yape,paid,2026-07-23 15:43:00
PAY0072,O0072,112,Yape,paid,2026-07-24 11:26:00
PAY0073,O0073,16,Efectivo,paid,2026-07-24 18:48:00
PAY0074,O0074,114,Yape,paid,2026-07-25 09:21:00
PAY0075,O0075,44.5,Efectivo,paid,2026-07-26 20:03:00
PAY0076,O0076,37,Yape,paid,2026-07-27 14:30:00
PAY0077,O0077,36,Efectivo,paid,2026-07-28 09:27:00
PAY0078,O0078,51.5,Tarjeta,paid,2026-07-28 15:44:00
PAY0079,O0079,68.5,Plin,paid,2026-07-29 14:46:00
PAY0080,O0080,13,Efectivo,paid,2026-07-30 07:39:00
PAY0081,O0081,42.5,Plin,refunded,2026-07-30 12:41:00
PAY0082,O0082,125,Efectivo,paid,2026-07-31 11:22:00
PAY0083,O0083,11,Yape,paid,2026-08-01 07:28:00
PAY0084,O0084,16.5,Plin,paid,2026-08-02 09:12:00
PAY0085,O0085,20.5,Tarjeta,paid,2026-08-02 18:42:00
PAY0086,O0086,8.5,Plin,paid,2026-08-03 07:42:00
PAY0087,O0087,56,Efectivo,paid,2026-08-03 08:05:00
PAY0088,O0088,39,Yape,paid,2026-08-04 14:22:00
PAY0089,O0089,32.5,Tarjeta,paid,2026-08-04 14:31:00
PAY0090,O0090,48,Efectivo,paid,2026-08-04 19:43:00
PAY0091,O0091,14.5,Yape,paid,2026-08-05 07:13:00
PAY0092,O0092,37.5,Tarjeta,paid,2026-08-05 14:23:00
PAY0093,O0093,37.5,Tarjeta,paid,2026-08-05 17:09:00
PAY0094,O0094,21.5,Tarjeta,paid,2026-08-06 07:31:00
PAY0095,O0095,21,Tarjeta,paid,2026-08-07 08:07:00
PAY0096,O0096,73,Tarjeta,paid,2026-08-07 09:19:00
PAY0097,O0097,39.5,Efectivo,paid,2026-08-07 14:42:00
PAY0098,O0098,12,Tarjeta,paid,2026-08-07 15:43:00
PAY0099,O0099,17,Plin,paid,2026-08-07 20:11:00
PAY0100,O0100,9,Efectivo,paid,2026-08-08 08:06:00
PAY0101,O0101,25.5,Tarjeta,paid,2026-08-08 10:40:00
PAY0102,O0102,39.5,Yape,paid,2026-08-08 17:47:00
PAY0103,O0103,32.5,Plin,paid,2026-08-09 08:47:00
PAY0104,O0104,74.5,Efectivo,paid,2026-08-09 14:40:00
PAY0105,O0105,57.5,Efectivo,paid,2026-08-09 15:11:00
PAY0106,O0106,48,Yape,paid,2026-08-10 08:37:00
PAY0107,O0107,66.5,Yape,paid,2026-08-10 09:35:00
PAY0108,O0108,69.5,Plin,paid,2026-08-11 07:28:00
PAY0109,O0109,62.5,Efectivo,paid,2026-08-11 08:52:00
PAY0110,O0110,64.5,Yape,paid,2026-08-12 15:43:00
PAY0111,O0111,15,Efectivo,paid,2026-08-12 18:57:00
PAY0112,O0112,31.5,Tarjeta,paid,2026-08-13 11:36:00
PAY0113,O0113,32,Tarjeta,refunded,2026-08-14 13:24:00
PAY0114,O0114,64.5,Tarjeta,paid,2026-08-14 14:11:00
PAY0115,O0115,25,Efectivo,paid,2026-08-15 13:35:00
PAY0116,O0116,43.5,Yape,paid,2026-08-15 13:53:00
PAY0117,O0117,13,Yape,paid,2026-08-15 19:55:00
PAY0118,O0118,16,Efectivo,paid,2026-08-16 08:00:00
PAY0119,O0119,52.5,Plin,paid,2026-08-16 08:17:00
PAY0120,O0120,34.5,Yape,paid,2026-08-17 11:26:00
PAY0121,O0121,88.5,Efectivo,paid,2026-08-17 15:29:00
PAY0122,O0122,46,Tarjeta,paid,2026-08-17 20:06:00
PAY0123,O0123,33.5,Yape,paid,2026-08-18 10:02:00
PAY0124,O0124,21,Tarjeta,paid,2026-08-18 10:49:00
PAY0125,O0125,24.5,Yape,paid,2026-08-19 08:52:00
PAY0126,O0126,44.5,Efectivo,paid,2026-08-19 11:52:00
PAY0127,O0127,68,Yape,paid,2026-08-20 08:07:00
PAY0128,O0128,30,Tarjeta,refunded,2026-08-20 18:57:00
PAY0129,O0129,69,Plin,paid,2026-08-20 17:06:00
PAY0130,O0130,8.5,Yape,paid,2026-08-21 10:57:00
PAY0131,O0131,65.5,Tarjeta,refunded,2026-08-21 14:30:00
PAY0132,O0132,50,Tarjeta,paid,2026-08-21 13:32:00
PAY0133,O0133,72,Yape,paid,2026-08-22 09:42:00
PAY0134,O0134,12.5,Plin,paid,2026-08-22 14:07:00
PAY0135,O0135,12.5,Tarjeta,paid,2026-08-22 14:43:00
PAY0136,O0136,65,Yape,paid,2026-08-23 10:25:00
PAY0137,O0137,6.5,Tarjeta,paid,2026-08-24 12:59:00
PAY0138,O0138,38,Efectivo,paid,2026-08-25 09:40:00
PAY0139,O0139,26,Tarjeta,paid,2026-08-25 12:30:00
PAY0140,O0140,62,Tarjeta,paid,2026-08-25 20:38:00
PAY0141,O0141,38,Plin,paid,2026-08-26 07:53:00
PAY0142,O0142,49.5,Yape,paid,2026-08-26 14:22:00
PAY0143,O0143,28.5,Plin,paid,2026-08-27 07:23:00
PAY0144,O0144,40.5,Tarjeta,paid,2026-08-27 09:57:00
PAY0145,O0145,41,Tarjeta,paid,2026-08-27 19:25:00
PAY0146,O0146,55.5,Yape,paid,2026-08-27 20:30:00
PAY0147,O0147,114,Yape,paid,2026-08-28 11:49:00
PAY0148,O0148,24,Plin,paid,2026-08-28 13:44:00
PAY0149,O0149,28.5,Plin,paid,2026-08-29 11:54:00
PAY0150,O0150,26.5,Yape,paid,2026-08-29 16:50:00
PAY0151,O0151,33,Efectivo,paid,2026-08-29 18:07:00
PAY0152,O0152,19.5,Efectivo,pending,
PAY0153,O0153,15,Efectivo,paid,2026-08-30 08:49:00
PAY0154,O0154,50,Yape,paid,2026-08-30 09:46:00
PAY0155,O0155,13,Yape,paid,2026-08-31 11:00:00
PAY0156,O0156,53,Efectivo,paid,2026-08-31 15:24:00
PAY0157,O0157,96.5,Yape,paid,2026-09-01 07:47:00
PAY0158,O0158,31.5,Yape,pending,
PAY0159,O0159,59.5,Plin,paid,2026-09-01 13:44:00
PAY0160,O0160,22.5,Efectivo,paid,2026-09-01 14:48:00
PAY0161,O0161,129.5,Tarjeta,pending,
PAY0162,O0162,64,Plin,paid,2026-09-01 16:44:00
PAY0163,O0163,69.5,Yape,pending,
PAY0164,O0164,87,Efectivo,paid,2026-09-01 20:50:00
PAY0165,O0165,70,Yape,paid,2026-09-02 16:30:00
PAY0166,O0166,54.5,Yape,paid,2026-09-03 19:42:00
PAY0167,O0167,52,Tarjeta,pending,
PAY0168,O0168,34,Efectivo,pending,
PAY0169,O0169,12,Efectivo,paid,2026-09-05 08:22:00
PAY0170,O0170,16.5,Yape,paid,2026-09-05 10:41:00
PAY0171,O0171,66,Yape,pending,
PAY0172,O0172,49.5,Efectivo,paid,2026-09-05 17:34:00
PAY0173,O0173,15,Tarjeta,paid,2026-09-05 17:45:00
PAY0174,O0174,42,Yape,paid,2026-09-05 18:15:00
PAY0175,O0175,25.5,Tarjeta,paid,2026-09-06 08:42:00
PAY0176,O0176,27.5,Efectivo,pending,
PAY0177,O0177,18,Efectivo,paid,2026-09-06 10:57:00
PAY0178,O0178,69,Tarjeta,pending,
PAY0179,O0179,9,Yape,paid,2026-09-06 14:15:00
PAY0180,O0180,117.5,Yape,paid,2026-09-06 14:35:00
