order_id,customer_id,order_date,status,total
O0130,C015,2026-08-21 10:50:00,completed,8.5
O0131,C002,2026-08-21 12:00:00,cancelled,65.5
O0132,C016,2026-08-21 13:20:00,completed,50
O0133,C014,2026-08-22 09:35:00,completed,72
O0134,C005,2026-08-22 14:05:00,completed,12.5
O0135,C008,2026-08-22 14:35:00,completed,12.5
O0136,C024,2026-08-23 10:20:00,completed,65
O0137,C020,2026-08-24 12:55:00,completed,6.5
O0138,C003,2026-08-25 09:35:00,completed,38
O0139,C002,2026-08-25 12:25:00,completed,26
O0140,C009,2026-08-25 20:30:00,completed,62
O0141,C020,2026-08-26 07:45:00,completed,38
O0142,C020,2026-08-26 14:15:00,completed,49.5
O0143,C015,2026-08-27 07:15:00,completed,28.5
O0144,C022,2026-08-27 09:55:00,completed,40.5
O0145,C001,2026-08-27 19:15:00,completed,41
O0146,C027,2026-08-27 20:25:00,completed,55.5
O0147,C008,2026-08-28 11:45:00,completed,114
O0148,C021,2026-08-28 13:40:00,completed,24
O0149,C022,2026-08-29 11:45:00,completed,28.5
O0150,C003,2026-08-29 16:40:00,completed,26.5
O0151,C037,2026-08-29 17:55:00,completed,33
O0152,C034,2026-08-30 07:55:00,pending,19.5
O0153,C001,2026-08-30 08:40:00,completed,15
O0154,C022,2026-08-30 09:35:00,completed,50
O0155,C020,2026-08-31 10:50:00,completed,13
O0156,C016,2026-08-31 15:20:00,completed,53
O0157,C001,2026-09-01 07:45:00,completed,96.5
O0158,C033,2026-09-01 10:15:00,pending,31.5
O0159,C025,2026-09-01 13:35:00,completed,59.5
O0160,C001,2026-09-01 14:45:00,completed,22.5
O0161,C001,2026-09-01 15:35:00,pending,129.5
O0162,C038,2026-09-01 16:40:00,completed,64
O0163,C021,2026-09-01 16:50:00,pending,69.5
O0164,C039,2026-09-01 20:40:00,completed,87
O0165,C031,2026-09-02 16:25:00,completed,70
O0166,C039,2026-09-03 19:40:00,completed,54.5
O0167,C004,2026-09-04 07:30:00,pending,52
O0168,C018,2026-09-04 17:30:00,pending,34
O0169,C013,2026-09-05 08:10:00,completed,12
O0170,C026,2026-09-05 10:40:00,completed,16.5
O0171,C016,2026-09-05 16:15:00,pending,66
O0172,C007,2026-09-05 17:25:00,completed,49.5
O0173,C001,2026-09-05 17:35:00,completed,15
O0174,C025,2026-09-05 18:05:00,completed,42
O0175,C009,2026-09-06 08:30:00,completed,25.5
O0176,C039,2026-09-06 09:00:00,pending,27.5
O0177,C004,2026-09-06 10:45:00,completed,18
O0178,C010,2026-09-06 13:40:00,pending,69
O0179,C014,2026-09-06 14:05:00,completed,9
O0180,C008,2026-09-06 14:30:00,completed,117.5
