order_item_id,order_id,product_id,quantity,unit_price,subtotal
OI0140,O0070,P012,1,9,9
OI0141,O0071,P007,3,16.5,49.5
OI0142,O0071,P012,1,9,9
OI0143,O0071,P003,2,13,26
OI0144,O0072,P003,3,13,39
OI0145,O0072,P006,4,14,56
OI0146,O0072,P001,2,8.5,17
OI0147,O0073,P009,1,16,16
OI0148,O0074,P007,2,16.5,33
OI0149,O0074,P011,3,12.5,37.5
OI0150,O0074,P004,3,14.5,43.5
OI0151,O0075,P013,1,17,17
OI0152,O0075,P003,1,13,13
OI0153,O0075,P004,1,14.5,14.5
OI0154,O0076,P008,2,11,22
OI0155,O0076,P010,1,15,15
OI0156,O0077,P012,1,9,9
OI0157,O0077,P014,2,6.5,13
OI0158,O0077,P006,1,14,14
OI0159,O0078,P003,3,13,39
OI0160,O0078,P011,1,12.5,12.5
OI0161,O0079,P007,1,16.5,16.5
OI0162,O0079,P003,4,13,52
OI0163,O0080,P003,1,13,13
OI0164,O0081,P006,2,14,28
OI0165,O0081,P004,1,14.5,14.5
OI0166,O0082,P010,1,15,15
OI0167,O0082,P003,4,13,52
OI0168,O0082,P004,4,14.5,58
OI0169,O0083,P008,1,11,11
OI0170,O0084,P007,1,16.5,16.5
OI0171,O0085,P001,1,8.5,8.5
OI0172,O0085,P002,1,12,12
OI0173,O0086,P001,1,8.5,8.5
OI0174,O0087,P006,2,14,28
OI0175,O0087,P008,1,11,11
OI0176,O0087,P001,2,8.5,17
OI0177,O0088,P001,2,8.5,17
OI0178,O0088,P008,2,11,22
OI0179,O0089,P014,1,6.5,6.5
OI0180,O0089,P003,2,13,26
OI0181,O0090,P001,1,8.5,8.5
OI0182,O0090,P005,2,12.5,25
OI0183,O0090,P004,1,14.5,14.5
OI0184,O0091,P004,1,14.5,14.5
OI0185,O0092,P001,1,8.5,8.5
OI0186,O0092,P003,1,13,13
OI0187,O0092,P009,1,16,16
OI0188,O0093,P005,1,12.5,12.5
OI0189,O0093,P009,1,16,16
OI0190,O0093,P012,1,9,9
OI0191,O0094,P014,2,6.5,13
OI0192,O0094,P001,1,8.5,8.5
OI0193,O0095,P004,1,14.5,14.5
OI0194,O0095,P014,1,6.5,6.5
OI0195,O0096,P013,2,17,34
OI0196,O0096,P008,1,11,11
OI0197,O0096,P006,2,14,28
OI0198,O0097,P003,1,13,13
OI0199,O0097,P006,1,14,14
OI0200,O0097,P005,1,12.5,12.5
OI0201,O0098,P002,1,12,12
OI0202,O0099,P001,2,8.5,17
OI0203,O0100,P012,1,9,9
OI0204,O0101,P007,1,16.5,16.5
OI0205,O0101,P012,1,9,9
OI0206,O0102,P006,1,14,14
OI0207,O0102,P001,1,8.5,8.5
OI0208,O0102,P013,1,17,17
OI0209,O0103,P001,1,8.5,8.5
OI0210,O0103,P002,2,12,24
OI0211,O0104,P011,4,12.5,50
OI0212,O0104,P005,1,12.5,12.5
OI0213,O0104,P002,1,12,12
OI0214,O0105,P014,3,6.5,19.5
OI0215,O0105,P013,1,17,17
OI0216,O0105,P001,1,8.5,8.5
OI0217,O0105,P005,1,12.5,12.5
OI0218,O0106,P007,1,16.5,16.5
OI0219,O0106,P002,1,12,12
OI0220,O0106,P014,3,6.5,19.5
OI0221,O0107,P002,1,12,12
OI0222,O0107,P013,1,17,17
OI0223,O0107,P011,3,12.5,37.5
OI0224,O0108,P011,1,12.5,12.5
OI0225,O0108,P010,1,15,15
OI0226,O0108,P003,1,13,13
OI0227,O0108,P004,2,14.5,29
OI0228,O0109,P001,2,8.5,17
OI0229,O0109,P003,1,13,13
OI0230,O0109,P004,1,14.5,14.5
OI0231,O0109,P012,2,9,18
OI0232,O0110,P008,4,11,44
OI0233,O0110,P006,1,14,14
OI0234,O0110,P014,1,6.5,6.5
OI0235,O0111,P010,1,15,15
OI0236,O0112,P004,1,14.5,14.5
OI0237,O0112,P001,2,8.5,17
OI0238,O0113,P001,1,8.5,8.5
OI0239,O0113,P012,1,9,9
OI0240,O0113,P004,1,14.5,14.5
OI0241,O0114,P006,1,14,14
OI0242,O0114,P002,3,12,36
OI0243,O0114,P004,1,14.5,14.5
OI0244,O0115,P002,1,12,12
OI0245,O0115,P003,1,13,13
OI0246,O0116,P004,3,14.5,43.5
OI0247,O0117,P003,1,13,13
OI0248,O0118,P009,1,16,16
OI0249,O0119,P010,1,15,15
OI0250,O0119,P008,2,11,22
OI0251,O0119,P012,1,9,9
OI0252,O0119,P014,1,6.5,6.5
OI0253,O0120,P008,2,11,22
OI0254,O0120,P005,1,12.5,12.5
OI0255,O0121,P006,1,14,14
OI0256,O0121,P004,1,14.5,14.5
OI0257,O0121,P010,4,15,60
OI0258,O0122,P009,1,16,16
OI0259,O0122,P002,1,12,12
OI0260,O0122,P012,2,9,18
OI0261,O0123,P005,2,12.5,25
OI0262,O0123,P001,1,8.5,8.5
OI0263,O0124,P002,1,12,12
OI0264,O0124,P012,1,9,9
OI0265,O0125,P001,1,8.5,8.5
OI0266,O0125,P009,1,16,16
OI0267,O0126,P002,3,12,36
OI0268,O0126,P001,1,8.5,8.5
OI0269,O0127,P004,2,14.5,29
OI0270,O0127,P003,3,13,39
OI0271,O0128,P013,1,17,17
OI0272,O0128,P014,2,6.5,13
OI0273,O0129,P012,1,9,9
OI0274,O0129,P010,4,15,60
OI0275,O0130,P001,1,8.5,8.5
OI0276,O0131,P004,1,14.5,14.5
OI0277,O0131,P013,3,17,51
OI0278,O0132,P007,2,16.5,33
OI0279,O0132,P001,2,8.5,17
OI0280,O0133,P013,1,17,17
OI0281,O0133,P003,2,13,26
OI0282,O0133,P004,2,14.5,29
OI0283,O0134,P005,1,12.5,12.5
OI0284,O0135,P005,1,12.5,12.5
OI0285,O0136,P002,3,12,36
OI0286,O0136,P004,2,14.5,29
OI0287,O0137,P014,1,6.5,6.5
OI0288,O0138,P002,1,12,12
OI0289,O0138,P003,2,13,26
OI0290,O0139,P002,1,12,12
OI0291,O0139,P006,1,14,14
OI0292,O0140,P002,2,12,24
OI0293,O0140,P010,1,15,15
OI0294,O0140,P004,1,14.5,14.5
OI0295,O0140,P001,1,8.5,8.5
OI0296,O0141,P008,2,11,22
OI0297,O0141,P009,1,16,16
OI0298,O0142,P001,3,8.5,25.5
OI0299,O0142,P002,2,12,24
OI0300,O0143,P005,1,12.5,12.5
OI0301,O0143,P009,1,16,16
OI0302,O0144,P009,2,16,32
OI0303,O0144,P001,1,8.5,8.5
OI0304,O0145,P001,2,8.5,17
OI0305,O0145,P002,2,12,24
OI0306,O0146,P005,1,12.5,12.5
OI0307,O0146,P013,1,17,17
OI0308,O0146,P003,2,13,26
OI0309,O0147,P006,2,14,28
OI0310,O0147,P010,1,15,15
OI0311,O0147,P004,4,14.5,58
OI0312,O0147,P003,1,13,13
OI0313,O0148,P012,1,9,9
OI0314,O0148,P014,1,6.5,6.5
OI0315,O0148,P001,1,8.5,8.5
OI0316,O0149,P002,1,12,12
OI0317,O0149,P007,1,16.5,16.5
OI0318,O0150,P004,1,14.5,14.5
OI0319,O0150,P002,1,12,12
OI0320,O0151,P012,1,9,9
OI0321,O0151,P002,2,12,24
OI0322,O0152,P001,1,8.5,8.5
OI0323,O0152,P008,1,11,11
OI0324,O0153,P010,1,15,15
OI0325,O0154,P013,2,17,34
OI0326,O0154,P009,1,16,16
OI0327,O0155,P003,1,13,13
OI0328,O0156,P003,1,13,13
OI0329,O0156,P006,2,14,28
OI0330,O0156,P002,1,12,12
OI0331,O0157,P004,3,14.5,43.5
OI0332,O0157,P001,2,8.5,17
OI0333,O0157,P002,3,12,36
OI0334,O0158,P012,1,9,9
OI0335,O0158,P006,1,14,14
OI0336,O0158,P001,1,8.5,8.5
OI0337,O0159,P008,2,11,22
OI0338,O0159,P005,3,12.5,37.5
OI0339,O0160,P001,1,8.5,8.5
OI0340,O0160,P006,1,14,14
OI0341,O0161,P002,1,12,12
OI0342,O0161,P011,4,12.5,50
OI0343,O0161,P006,3,14,42
OI0344,O0161,P001,3,8.5,25.5
OI0345,O0162,P014,2,6.5,13
OI0346,O0162,P012,3,9,27
OI0347,O0162,P002,2,12,24
OI0348,O0163,P004,1,14.5,14.5
OI0349,O0163,P001,2,8.5,17
OI0350,O0163,P003,1,13,13
OI0351,O0163,P005,2,12.5,25
OI0352,O0164,P001,3,8.5,25.5
OI0353,O0164,P004,3,14.5,43.5
OI0354,O0164,P012,2,9,18
OI0355,O0165,P009,1,16,16
OI0356,O0165,P003,2,13,26
OI0357,O0165,P006,2,14,28
OI0358,O0166,P001,3,8.5,25.5
OI0359,O0166,P004,2,14.5,29
OI0360,O0167,P001,1,8.5,8.5
OI0361,O0167,P004,3,14.5,43.5
OI0362,O0168,P013,2,17,34
OI0363,O0169,P002,1,12,12
OI0364,O0170,P007,1,16.5,16.5
OI0365,O0171,P007,4,16.5,66
OI0366,O0172,P002,2,12,24
OI0367,O0172,P003,1,13,13
OI0368,O0172,P005,1,12.5,12.5
OI0369,O0173,P010,1,15,15
OI0370,O0174,P012,1,9,9
OI0371,O0174,P007,2,16.5,33
OI0372,O0175,P013,1,17,17
OI0373,O0175,P001,1,8.5,8.5
OI0374,O0176,P003,1,13,13
OI0375,O0176,P004,1,14.5,14.5
OI0376,O0177,P012,2,9,18
OI0377,O0178,P004,1,14.5,14.5
OI0378,O0178,P003,1,13,13
OI0379,O0178,P014,3,6.5,19.5
OI0380,O0178,P008,2,11,22
OI0381,O0179,P012,1,9,9
OI0382,O0180,P002,4,12,48
OI0383,O0180,P003,2,13,26
OI0384,O0180,P012,3,9,27
OI0385,O0180,P007,1,16.5,16.5
